identifier	dna_number	gene_name	forward_primers	reverse_primers
SEQID00000901	2217	COI	LC1490	HC2198
SEQID00004582	4316	CAD		
SEQID00006354	2858	28S	NLF184, NLF184	D3AR, D3AR
SEQID00004936	0988	CAD	C806F3, CD439F, CD806F, CD806F	C1129R, CD1098R2, CD668R, CD1098R2
SEQID00006426	2116	TOPO	TP675F	TP932R
SEQID00000826	1866	28S	D1	D3
SEQID00005368	1902	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00003192	0678	ARGK	AK260F, AK183F	AK933R, AK950R
SEQID00003501	1463	18S	18SBI, 518S, 760F, 18SAI	18L, 909R
SEQID00000123	0725	28S	D1	D33-
SEQID00001479	2760	CAD	CD806F	1098R2
SEQID00006060	2842	COI	B1490	BCOI2R
SEQID00002323	2194	TOPO	TP675F	TP932R
SEQID00002305	1863	WG	WG578F	WGABR
SEQID00005120	2903	ARGK	AK183F	AK933R
SEQID00001022	1209	CAD	806F, 581F4, 338F	843R, 1098R, 680R2
SEQID00001433	0926	WG		WGB, WG2, WGB, WG2
SEQID00004368	2167	28S	D1	D3
SEQID00004051	1574	18S	760F, 760F, 518S, 18SBI, 18SAI	18L, 18L, 909R
SEQID00000128	1467	ARGK	AK270F	AK950R
SEQID00004267	2042	28S	D1	D3
SEQID00000523	1172	28S	D1, D1	D33, D3
SEQID00001695	3602	CAD	CD806F	C1098R2
SEQID00002724	0613	28S	D1, D1, D1	D33-
SEQID00002934	1662	WG	WG578F	WGABR
SEQID00002229	0895	TOPO	TP675F	TP932R
SEQID00002061	0878	CAD	806F, 581F2	843R, 1098R
SEQID00004755	1911	TOPO	TP675F	TP932R
SEQID00002256	1573	COI	B1490, JER, JER	PAT, B2232, PAT
SEQID00001582	0575	MSP	MSP2F	MSP1R
SEQID00005215	0446	COI	B1490, B1490, JER, JERRY	PAT, B2232, B2232, PAT
SEQID00004781	0551	28S	D1MOD, D1, NLF184	D33, D33-, D3AR
SEQID00003906	1960	COI	B2679, JER, B1490	PAT, B2232, BCOI2R
SEQID00001548	2098	CAD	CD439F, 806F	CD688R, 1098R
SEQID00000006	1314	28S	D1	D33
SEQID00004857	3524	28S	NLF184	D3AR
SEQID00006450	1355	28S	D1	D3
SEQID00005522	2058	28S	D1	D3
SEQID00002689	2603	COI	LCO1490	HCO2198
SEQID00004178	1403	28S	D1	D3
SEQID00006558	1637	COI	B1490, JER	B2232, PAT
SEQID00006417	1417	18S	18SBI, 518S, 760F, 18SAI	18L, 909R
SEQID00002583	1340	WG	WG578F	WGABR
SEQID00006755	2585	COI	LCO149	HCO219
SEQID00001630	1508	WG	5WGB	B3WG2
SEQID00003761	0445	28S	D1	D33-
SEQID00006247	2067	18S	18SAI, 518S, 760F, 18SBI	18L, 909R
SEQID00003489	1903	CAD	C581F4, CD338F, C806F3	C680R2, C843R, C1129R
SEQID00006469	2009	WG	WG578F	WGABR
SEQID00006464	4054	28S	NLF184	D3AR
SEQID00001834	1630	POL2	PL859F	P1097R
SEQID00003119	1615	ARGK	AK270F	AK950R
SEQID00006394	0339	WG		
SEQID00002506	0585	CAD	CD439F, 806F	CD668R, 1098R
SEQID00003806	1469	18S	18SBI, 518S, 760F, 18SAI, 18SBI, 518S, 18SAI, 760F	909R, 909R, 18L, 18L
SEQID00001539	0669	18S	518S, 18SBI, 18SAI, 518S, 18SBI, 760F, 18SAI, 760F	18L, 909R, 909R, 18L
SEQID00005376	2831	CAD		
SEQID00006124	2181	28S	D1	D3
SEQID00006496	1871	COI	JER, B1490	PAT, B2232
SEQID00000898	2267	ARGK	AK260F	AK950R
SEQID00003189	2104	WG	WG578F	WGABR
SEQID00000464	1768	28S	D1	D3
SEQID00006610	2071	28S	D1	D3
SEQID00000022	2095	WG	WG578F	WGABR
SEQID00001150	0790	28S	D1, D1MOD, D1, D1WM, D1MOD	D33, D3WM, D3, D3R
SEQID00002681	2078	18S	518S, 760F, 18SBI, 18SAI	18L, 909R
SEQID00006256	2495	ARGK	AK168F	AK939R
SEQID00004158	1507	COI	B1490, JER	B2232, PAT
SEQID00005100	1171	WG	WG578F	WGABR
SEQID00004239	0981	WG		WG2, WGB
SEQID00006198	2880	WG	WG578F	WGABR
SEQID00002563	0251	COI	LCO1490	HCO2198
SEQID00001019	2204	COI	LC1490	HC2198
SEQID00004049	3922	TOPO	TP675F	TP932R
SEQID00002965	1721	28S	D1	D3
SEQID00004708	2751	TOPO	TP675F	TP932R
SEQID00000833	0736	28S	D1, D1	D33-, D33-
SEQID00002557	3076	COI	B1490	BCOI2R
SEQID00006116	2059	TOPO	TP675F	TP932R
SEQID00002374	1854	POL2	PL859F	P1097R
SEQID00000921	1455	CAD	806F	1098R
SEQID00004990	2090	MSP	MSP2F	MSP1R
SEQID00003375	0446	WG	WG578F	WGABR
SEQID00000327	3250	MSP	MSP2F	MSP1R
SEQID00002741	1348	28S	D1	D3
SEQID00000249	0274	28S	D1, D1	D33-
SEQID00003890	3282	CAD	CD806F	C1098R2
SEQID00004955	2283	ARGK	AK270F, AK270F	AK830R, AK950R
SEQID00005516	2497	COI	B1490, B1490, LCO1490, B1490, B1490, LC1490, B1490	HC2198, BCOI2R, HC2198, BCOI2R, BCOI2R, BCOI2R, HCO2198
SEQID00003212	2380	TOPO	TP675F	TP932R
SEQID00006104	1758	COI	LC1490	HC2198
SEQID00006375	1659	28S	D1	D3
SEQID00001100	2418	28S	NLF184, NLF184	D3AR, D3AR
SEQID00002161	3092	CAD	CD821F, CD821F	CD1098R2, C1098R2, C1098R2
SEQID00002870	0813	28S	D1	D33
SEQID00005025	2005	28S	D1	D3
SEQID00003826	1530	18S	518S, 18SAI, 1055F, 18SBI	519R, 18L
SEQID00001259	2123	TOPO	TP675F	TP932R
SEQID00005433	1493	18S	18SBI, 18SAI, 518S, 1055F	18L, 519R
SEQID00004021	1529	28S	D1	D3
SEQID00002990	2323	WG	WG550F	WGABRZ
SEQID00001956	0732	WG		WGB, WG2
SEQID00002008	2803	CAD	CD806F	1098R2
SEQID00001353	1742	ARGK	AK183F	AK933R
SEQID00006708	2414	18S	18SBI, 518S, 18SAI, 760F	18L, 909R
SEQID00001836	2240	CAD	CD821F	1098R2
SEQID00003483	1604	18S	18SAI, 18SBI, 760F, 518S	18L, 909R
SEQID00005199	0814	WG	5WGB, 5WGB, B5WG1, WG578F	B3WG2, B3WG2, B3WG2, WGABR
SEQID00003881	1741	TOPO	TP675F	TP932R
SEQID00001860	1026	28S	D1	D33-
SEQID00004460	2138	28S	D1	D3
SEQID00003543	2098	TOPO	TP675F	TP932R
SEQID00002834	1659	WG	WG578F	WGABR
SEQID00000572	0686	WG	WG1	WG2
SEQID00002041	1317	WG	WG550F	WGABRZ
SEQID00000893	1161	WG	WG578F	B3WG2
SEQID00004428	2911	28S	NLF184	D3AR
SEQID00005051	0896	TOPO	TP675F	TP932R
SEQID00003009	1958	COI	LC1490, B1490	HC2198, BCOI2R
SEQID00005936	1496	COI	JER, B1490	B2232, PAT
SEQID00002572	2285	28S	D1	D3
SEQID00000686	2839	TOPO	TP675F	TP932R
SEQID00001172	2285	CAD	C806F3	C1129R
SEQID00000317	0878	ENOLASE		
SEQID00001386	0360	28S	D1	D33-
SEQID00002836	2166	ARGK	AK270F	AK950R
SEQID00003495	3611	CAD	CD439F, CD821F	CD668R, C1098R2
SEQID00001107	0433	MSP	MSP2F	MSP1R
SEQID00002181	2001	COI	B1490	BCOI2R
SEQID00001422	3080	CAD	CD806F	C1098R2
SEQID00002955	3070	ARGK	AK183F	AK933R
SEQID00000000	1856	28S	D1	D3
SEQID00000967	2887	WG	WG578F	WGABR
SEQID00000943	3524	MSP	MSP2F	MSP1R
SEQID00001782	0334	CAD		
SEQID00002045	4059	ARGK	AK183F	AK933R
SEQID00002526	2058	ARGK	AK183F	AK933R
SEQID00000698	2144	28S	D1	D3
SEQID00002353	2085	TOPO	TP675F	TP932R
SEQID00002686	2975	28S	NLF184	D3AR
SEQID00002851	1396	28S	D1	D33
SEQID00002190	2792	WG	WG578F	WGABR
SEQID00006122	1339	28S	D1	D3
SEQID00003060	4693	CAD	CD806F, CD439F	C1098R2, CD668R
SEQID00005189	2612	MSP	MSP2F	MSP1R
SEQID00004022	2936	CAD	CD806F	C1098R2
SEQID00001052	1320	28S	D1	D33
SEQID00004833	2576	CAD	CD806F, CD439F	1098R2, CD668R
SEQID00004671	0474	28S	D1	D33-
SEQID00000995	0766	28S	D1, D1	D33-, D33-
SEQID00003688	2020	COI	B1490, LC1490	HC2198, BCOI2R
SEQID00003723	1440	WG	WG578F	WGABR
SEQID00000865	2214	18S	18SBI, 18SBI, 518S, 18SAI, 760F, 760F, 18SAI, 518S	18L, 18L, 909R, 909R
SEQID00003958	1356	28S	D1	D3
SEQID00002937	1939	COI	B1490	BCOI2R
SEQID00006465	1750	28S	D1	D3
SEQID00000881	1771	28S	D1	D3
SEQID00003505	2940	CAD	CD806F	C1098R2
SEQID00001198	1343	COI	LC1490	HC2198
SEQID00001618	1314	18S	18SBI, 518S, 18SAI, 1055F	18L, 519R
SEQID00003623	1972	MSP	MSP2F	MSP1R
SEQID00000621	0602	18S	518S, 18SAI, 760F, 18SBI	909R, 18L
SEQID00003091	0630	28S	D1	D33-
SEQID00001226	1539	AS		
SEQID00000802	1846	CAD	338F, 581F4, 791F2	1098R, 680R2, 843R
SEQID00002848	0607	18S	18SBI, 760F, 518S, 18SAI	18L, 909R
SEQID00005645	1202	CAD	791F2, 338F, 581F4, 338F	843R, 680R2, 1098R
SEQID00002248	2267	TOPO	TP643F	TP932R
SEQID00005300	2831	WG		
SEQID00005900	2318	COI	LC1490	HC2198
SEQID00000416	0136	WG		
SEQID00002301	1476	CAD	806F, 791F2	1098RA, 1098R
SEQID00001089	1203	POL2	PL859F	P1097R
SEQID00001906	1412	TOPO	TP675F	TP932R
SEQID00003092	1742	CAD	CD806F	1098R2
SEQID00002625	2052	28S	D1	D3
SEQID00004379	1339	ARGK	AK270F	AK950R
SEQID00003650	1281	COI	JER, LC1490	PAT, HC2198
SEQID00004637	1531	18S	760F, 18SBI, 518S, 18SAI	18L, 909R
SEQID00000406	2042	CAD	CD806F	1098R2
SEQID00003802	0868	WG		WG2, WGB
SEQID00003691	1361	WG	WG550F	WGABRZ
SEQID00006110	0252	28S	NLF184	D3AR
SEQID00004032	2441	CAD	CD806F, CD439F, CD806F	CD1098R2, CD668R, CD1098R2
SEQID00003395	3596	WG	WG578F	WGABR
SEQID00003672	4081	28S	D1	D3
SEQID00004352	4691	ARGK	AK183F	AK933R
SEQID00005063	2067	CAD	CD439F, 806F, CD338F	CD688R, CD688R, 1098R
SEQID00002866	1439	TOPO	TP675F	TP932R
SEQID00004571	1556	28S	D1	D3
SEQID00005565	1980	COI	B1490	BCOI2R
SEQID00005713	1856	WG	WG578F	WGABR
SEQID00006569	1005	28S		
SEQID00000014	1330	28S	D1	D3
